Element,X,y
inst_42440,101,210
inst_85774,101,150
inst_26264,101,180
inst_99940,101,150
inst_19105,101,90
inst_44741,101,180
inst_66974,101,120
inst_87530,101,120
inst_96386,101,150
inst_102283,101,210
inst_59538,101,150
inst_88193,101,90
inst_94731,101,120
inst_64171,101,60
inst_61474,101,60
inst_101377,101,90
inst_22849,101,120
inst_37701,101,210
inst_63839,101,90
inst_39941,101,120
inst_87247,101,150
inst_6652,101,60
inst_39196,101,180
inst_17276,101,90
inst_70496,101,180
inst_66898,101,60
inst_13728,101,60
inst_76380,101,210
inst_84158,101,180
inst_95490,101,120
inst_54525,101,120
inst_97817,101,120
inst_45425,101,120
inst_71448,101,120
inst_84567,101,180
inst_69079,101,180
inst_33008,101,60
inst_83540,101,120
inst_67050,101,120
inst_63203,101,60
inst_48970,101,60
inst_21782,101,210
inst_44164,101,120
inst_16928,101,90
inst_76440,101,60
inst_3273,101,180
inst_90025,101,120
inst_9951,101,120
inst_17425,101,120
inst_85113,101,210
inst_52821,101,90
inst_63218,101,60
inst_43519,101,180
inst_15486,101,120
inst_48652,101,180
inst_72805,101,180
inst_24358,101,150
inst_101426,101,60
inst_80650,101,60
inst_64835,101,90
inst_80952,101,180
inst_19712,101,90
inst_74528,101,180
inst_26798,101,180
inst_67103,101,60
inst_87448,101,90
inst_94115,101,150
inst_48404,101,60
inst_62247,101,210
inst_44402,101,180
inst_92379,101,120
inst_93158,101,120
inst_81747,101,180
